allStations	lanes4Bus	pCongFixed	Result
3	0	0.5	[(84.08333333333333, 25.0), (138.16666666666666, 10.0003), (73.58333333333333, 30.0), (52.166666666666664, 55.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
3	0	0.6	[(55.166666666666664, 55.0), (88.58333333333333, 30.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (150.16666666666666, 10.0003), (103.75, 25.0001)]
3	0	0.7	[(60.16666666666666, 55.0), (123.75, 25.0001), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (180.25, 5.0005)]
3	0	0.8	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (70.16666666666666, 55.0)]
3	0	0.9	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (100.16666666666666, 55.0)]
3	0	1	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
3	1	0	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (114.16666666666667, 10.0003), (42.083333333333336, 25.0), (39.083333333333336, 30.0)]
3	1	0.1	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (116.83333333333333, 10.0003), (46.74999999999999, 25.0), (43.416666666666664, 30.0)]
3	1	0.2	[(52.583333333333336, 25.0), (120.16666666666667, 10.0003), (48.833333333333336, 30.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (48.083333333333336, 35.0), (47.41666666666667, 40.0)]
3	1	0.3	[(60.08333333333333, 25.0), (124.45238095238095, 10.0003), (55.797619047619044, 30.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (48.738095238095234, 55.0), (52.238095238095234, 40.0), (53.97619047619047, 35.0)]
3	1	0.4	[(70.08333333333333, 25.0), (130.16666666666666, 10.0003), (63.583333333333336, 30.0), (50.166666666666664, 55.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
3	1	0.5	[(84.08333333333333, 25.0), (138.16666666666666, 10.0003), (73.58333333333333, 30.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (64.66666666666667, 40.0), (52.166666666666664, 55.0)]
3	1	0.6	[(73.66666666666667, 40.0), (88.58333333333333, 30.0), (55.166666666666664, 55.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (150.16666666666666, 10.0003), (103.75, 25.0001)]
