disabledNode	disabledLink	pCongFixed	Result
9	9	0	35.0833333333
9	9	0.3	47.9642857143
9	9	0.6	74.75
9	9	0.9	162.25
9	10	0	35.0833333333
9	10	0.3	43.3095238095
9	10	0.6	48.6666666667
9	10	0.9	66.1666666667
9	11	0	35.0833333333
9	11	0.3	43.3095238095
9	11	0.6	48.6666666667
9	11	0.9	66.1666666667
9	12	0	35.0833333333
9	12	0.3	43.3095238095
9	12	0.6	48.6666666667
9	12	0.9	66.1666666667
9	13	0	35.0833333333
9	13	0.3	43.3095238095
9	13	0.6	48.6666666667
9	13	0.9	66.1666666667
9	14	0	35.0833333333
9	14	0.3	47.9642857143
9	14	0.6	74.75
9	14	0.9	162.25
9	15	0	35.0833333333
9	15	0.3	43.3095238095
9	15	0.6	48.6666666667
9	15	0.9	66.1666666667
9	16	0	35.0833333333
9	16	0.3	43.3095238095
9	16	0.6	48.6666666667
9	16	0.9	66.1666666667
9	17	0	35.0833333333
9	17	0.3	43.3095238095
9	17	0.6	48.6666666667
9	17	0.9	66.1666666667
9	18	0	35.0833333333
9	18	0.3	43.3095238095
9	18	0.6	48.6666666667
9	18	0.9	66.1666666667
9	19	0	35.0833333333
9	19	0.3	43.3095238095
9	19	0.6	48.6666666667
9	19	0.9	66.1666666667
9	20	0	35.0833333333
9	20	0.3	46.9047619048
9	20	0.6	68.3333333333
9	20	0.9	138.333333333
9	21	0	35.0833333333
9	21	0.3	43.3095238095
9	21	0.6	48.6666666667
9	21	0.9	66.1666666667
9	22	0	35.0833333333
9	22	0.3	43.3095238095
9	22	0.6	48.6666666667
9	22	0.9	66.1666666667
9	23	0	35.0833333333
9	23	0.3	43.3095238095
9	23	0.6	48.6666666667
9	23	0.9	66.1666666667
9	24	0	35.0833333333
9	24	0.3	43.3095238095
9	24	0.6	48.6666666667
9	24	0.9	66.1666666667
9	25	0	35.0833333333
9	25	0.3	47.9642857143
9	25	0.6	74.75
9	25	0.9	162.25
10	1	0	32.5833333333
10	1	0.3	43.3095238095
10	1	0.6	48.6666666667
10	1	0.9	66.1666666667
10	2	0	32.5833333333
10	2	0.3	43.3095238095
10	2	0.6	48.6666666667
10	2	0.9	66.1666666667
10	3	0	32.5833333333
10	3	0.3	45.4523809524
10	3	0.6	73.6666666667
10	3	0.9	126.166666667
10	4	0	32.5833333333
10	4	0.3	43.3095238095
10	4	0.6	48.6666666667
10	4	0.9	66.1666666667
10	5	0	32.5833333333
10	5	0.3	43.3095238095
10	5	0.6	48.6666666667
10	5	0.9	66.1666666667
10	6	0	32.5833333333
10	6	0.3	43.3095238095
10	6	0.6	48.6666666667
10	6	0.9	66.1666666667
10	7	0	32.5833333333
10	7	0.3	43.3095238095
10	7	0.6	48.6666666667
10	7	0.9	66.1666666667
10	8	0	32.5833333333
10	8	0.3	43.3095238095
10	8	0.6	48.6666666667
10	8	0.9	66.1666666667
10	9	0	32.5833333333
10	9	0.3	45.4523809524
10	9	0.6	74.9166666667
10	9	0.9	150.166666667
10	10	0	32.5833333333
10	10	0.3	43.3095238095
10	10	0.6	48.6666666667
10	10	0.9	66.1666666667
10	11	0	32.5833333333
10	11	0.3	43.3095238095
10	11	0.6	48.6666666667
10	11	0.9	66.1666666667
10	12	0	32.5833333333
10	12	0.3	43.3095238095
10	12	0.6	48.6666666667
10	12	0.9	66.1666666667
10	13	0	32.5833333333
10	13	0.3	43.3095238095
10	13	0.6	48.6666666667
10	13	0.9	66.1666666667
10	14	0	32.5833333333
10	14	0.3	44.4761904762
10	14	0.6	68.5833333333
10	14	0.9	147.333333333
10	15	0	32.5833333333
10	15	0.3	43.3095238095
10	15	0.6	48.6666666667
10	15	0.9	66.1666666667
10	16	0	35.0833333333
10	16	0.3	43.3095238095
10	16	0.6	48.6666666667
10	16	0.9	66.1666666667
10	17	0	32.5833333333
10	17	0.3	43.3095238095
10	17	0.6	48.6666666667
10	17	0.9	66.1666666667
10	18	0	32.5833333333
10	18	0.3	43.3095238095
10	18	0.6	48.6666666667
10	18	0.9	66.1666666667
10	19	0	32.5833333333
10	19	0.3	43.3095238095
10	19	0.6	48.6666666667
10	19	0.9	66.1666666667
10	20	0	32.5833333333
10	20	0.3	44.4761904762
10	20	0.6	68.3333333333
10	20	0.9	138.333333333
10	21	0	32.5833333333
10	21	0.3	43.3095238095
10	21	0.6	48.6666666667
10	21	0.9	66.1666666667
10	22	0	35.0833333333
10	22	0.3	43.3095238095
10	22	0.6	48.6666666667
10	22	0.9	66.1666666667
10	23	0	32.5833333333
10	23	0.3	43.3095238095
10	23	0.6	48.6666666667
10	23	0.9	66.1666666667
10	24	0	32.5833333333
10	24	0.3	43.3095238095
10	24	0.6	48.6666666667
10	24	0.9	66.1666666667
10	25	0	Infinity
10	25	0.3	Infinity
10	25	0.6	Infinity
10	25	0.9	Infinity
11	1	0	32.5833333333
11	1	0.3	44.4761904762
11	1	0.6	68.5833333333
11	1	0.9	147.333333333
11	2	0	32.5833333333
11	2	0.3	44.4761904762
11	2	0.6	68.5833333333
11	2	0.9	147.333333333
11	3	0	32.5833333333
11	3	0.3	45.4523809524
11	3	0.6	74.9166666667
11	3	0.9	171.166666667
11	4	0	32.5833333333
11	4	0.3	44.4761904762
11	4	0.6	68.5833333333
11	4	0.9	147.333333333
11	5	0	32.5833333333
11	5	0.3	44.4761904762
11	5	0.6	68.5833333333
11	5	0.9	147.333333333
11	6	0	32.5833333333
11	6	0.3	44.4761904762
11	6	0.6	68.5833333333
11	6	0.9	147.333333333
11	7	0	32.5833333333
11	7	0.3	44.4761904762
11	7	0.6	68.5833333333
11	7	0.9	147.333333333
11	8	0	32.5833333333
11	8	0.3	44.4761904762
11	8	0.6	68.5833333333
11	8	0.9	147.333333333
11	9	0	32.5833333333
11	9	0.3	45.4523809524
11	9	0.6	74.75
11	9	0.9	162.25
11	10	0	32.5833333333
11	10	0.3	44.4761904762
11	10	0.6	68.5833333333
11	10	0.9	147.333333333
11	11	0	32.5833333333
11	11	0.3	44.4761904762
11	11	0.6	68.5833333333
11	11	0.9	147.333333333
11	12	0	32.5833333333
11	12	0.3	45.4523809524
11	12	0.6	74.75
11	12	0.9	162.25
11	13	0	32.5833333333
11	13	0.3	44.4761904762
11	13	0.6	68.5833333333
11	13	0.9	147.333333333
11	14	0	32.5833333333
11	14	0.3	44.4761904762
11	14	0.6	68.5833333333
11	14	0.9	147.333333333
11	15	0	32.5833333333
11	15	0.3	44.4761904762
11	15	0.6	68.5833333333
11	15	0.9	147.333333333
11	16	0	35.0833333333
11	16	0.3	47.9642857143
11	16	0.6	74.75
11	16	0.9	162.25
11	17	0	32.5833333333
11	17	0.3	44.4761904762
11	17	0.6	68.5833333333
11	17	0.9	147.333333333
11	18	0	32.5833333333
11	18	0.3	44.4761904762
11	18	0.6	68.5833333333
11	18	0.9	147.333333333
11	19	0	32.5833333333
11	19	0.3	44.4761904762
11	19	0.6	68.5833333333
11	19	0.9	147.333333333
11	20	0	32.5833333333
11	20	0.3	44.4761904762
11	20	0.6	68.5833333333
